"","Q13C","Q18AA","Q18AB","Q20","Q21","Q22","Q23A","Q23B","Q23C","Q23D","Q24","Q25","Q26","Q27","Q29","Q29A","Education","AgeCat","PoliticalPartyAffiliation","Income","PoliticsGeneral","Married"
"242","Yes, the law does this","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Democrat","$100,000 or more","Liberal","Married"
"243","No, law does not do this","Not at all important","Very important","Oppose","The woman herself (or)","Very important","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","(DO NOT READ) Don't know","Two year associate degree from a college or university","55-64","Republican","(DO NOT READ) Don't know/Refused","Conservative","Married"
"244","(DO NOT READ) Don't know","Very important","Very important","(DO NOT READ) Don't know","(DO NOT READ) Don't know","Very important","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","(DO NOT READ) Refused","High school graduate (Grade 12 with diploma or GED certificate)","65+","Republican","$50,000 to less than $75,000","Conservative","Widowed"
"245","(DO NOT READ) Don't know","Very important","Very important","Support","The insurance company (or)","Somewhat important","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","High school incomplete (Grades 9-11 or Grade 12 with no diploma)","65+","Democrat","Less than $20,000","Conservative","Married"
"246",NA,"Very important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","55-64","Republican","$90,000 to less than $100,000","Conservative","Never been married"
"247",NA,"Not at all important","Very important","Oppose","The insurance company (or)","Not too important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","45-54","Indep lean Rep","$50,000 to less than $75,000","Conservative","Married"
"248","No, law does not do this","Not at all important","Not at all important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Now oppose","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","55-64","Indep/Don't lean","(DO NOT READ) Don't know/Refused","Moderate","Married"
"249","No, law does not do this","Not at all important","Very important","Support","The woman herself (or)","Somewhat important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","(DO NOT READ) Don't know",NA,"Support","Now oppose","High school incomplete (Grades 9-11 or Grade 12 with no diploma)","65+","Democrat","$20,000 to less than $30,000","Conservative","Divorced"
"250",NA,"(DO NOT READ) Don't know","Very important","Support","(DO NOT READ) Don't know","Very important","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"(DO NOT READ) Don't know",NA,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","65+","Indep lean Rep","$50,000 to less than $75,000","Moderate","Divorced"
"251","Yes, the law does this","Very important","Very important","Oppose","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","65+","Democrat","$20,000 to less than $30,000","Moderate","Never been married"
"252",NA,"Very important","Somewhat important","Oppose","The insurance company (or)","Very important","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","(DO NOT READ) Don't know","High school graduate (Grade 12 with diploma or GED certificate)","65+","Republican","$50,000 to less than $75,000","Conservative","Widowed"
"253",NA,"Very important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some postgraduate or professional school, no postgraduate degree","55-64","Democrat","$100,000 or more","Moderate","Married"
"254","Yes, the law does this","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Democrat","$50,000 to less than $75,000","Conservative","Married"
"255","Yes, the law does this","Very important","Very important","Support","The government (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","65+","Indep lean Dem","$30,000 to less than $40,000","Moderate","Widowed"
"256",NA,"Somewhat important","Very important","Support","(DO NOT READ) None of these/someone else","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Democrat","$50,000 to less than $75,000","Moderate","Living with a partner"
"257",NA,"Somewhat important","Very important","Oppose","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Republican","$20,000 to less than $30,000","Moderate","Divorced"
"258",NA,"Very important","Not at all important","Oppose","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Oppose",NA,"Some college, no degree (includes some community college)","65+","Republican","$100,000 or more","Conservative","Married"
"259",NA,"Very important","Very important","Support","The woman herself (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Two year associate degree from a college or university","45-54","Indep lean Rep","Less than $20,000","Liberal","Divorced"
"260",NA,"Not too important","Somewhat important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","(DO NOT READ) Don't know",NA,"Support","Now oppose","Two year associate degree from a college or university","65+","Republican","(DO NOT READ) Don't know/Refused","Conservative","Married"
"261","(DO NOT READ) Don't know","Not too important","Very important","Oppose","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","65+","Indep lean Rep","$75,000 to less than $90,000","Conservative","Widowed"
"262",NA,"Not at all important","Very important","Oppose","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","(DO NOT READ) Don't know","High school graduate (Grade 12 with diploma or GED certificate)","65+","Indep lean Rep","(DO NOT READ) Don't know/Refused","Moderate","Living with a partner"
"263","Yes, the law does this","Somewhat important","Very important","Oppose","The woman herself (or)","Somewhat important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Republican","(DO NOT READ) Don't know/Refused","Conservative","Married"
"264","Yes, the law does this","Very important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","25-34","Indep lean Dem","$50,000 to less than $75,000","Liberal","Never been married"
"265","(DO NOT READ) Don't know","Somewhat important","Very important","Support","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","55-64","Indep lean Rep","(DO NOT READ) Don't know/Refused","Moderate","Married"
"266","No, law does not do this","Very important","Somewhat important","Oppose","The insurance company (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"Support","Now oppose","Two year associate degree from a college or university","65+","Republican","$40,000 to less than $50,000","Conservative","Married"
"267","No, law does not do this","Very important","Very important","Support","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Two year associate degree from a college or university","25-34","Republican","$50,000 to less than $75,000","Conservative","Married"
"268",NA,"Not at all important","Not at all important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Oppose",NA,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","55-64","Indep/Don't lean","$90,000 to less than $100,000","Conservative","Married"
"269","(DO NOT READ) Don't know","Not at all important","Very important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Now oppose","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Indep/Don't lean","$40,000 to less than $50,000","Conservative","Married"
"270","Yes, the law does this","Not at all important","Somewhat important","Oppose","The woman herself (or)","Not too important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Republican","(DO NOT READ) Don't know/Refused","Conservative","Married"
"271",NA,"Somewhat important","Very important","Support","The woman herself (or)","Somewhat important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Indep lean Rep","$100,000 or more","Moderate","Married"
"272",NA,"Not at all important","Not at all important","Support","The insurance company (or)","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know","(DO NOT READ) Don't know","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","(DO NOT READ) Don't know","Some college, no degree (includes some community college)","45-54","Indep lean Dem","$20,000 to less than $30,000","Moderate","Married"
"273",NA,"Very important","Very important","Support","The woman herself (or)","Very important","Skipped","Skipped","Skipped","(DO NOT READ) Never heard of Planned Parenthood","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","45-54","Democrat","$40,000 to less than $50,000","Moderate","Married"
"274","Yes, the law does this","Very important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Now oppose","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Indep lean Rep","$90,000 to less than $100,000","Conservative","Married"
"275",NA,"Not too important","Very important","Oppose","The woman herself (or)","Not too important","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Now oppose","Two year associate degree from a college or university","45-54","Republican","$90,000 to less than $100,000","Conservative","Married"
"276","(DO NOT READ) Don't know","Not too important","Very important","Oppose","The woman herself (or)","Not too important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","55-64","Republican","$40,000 to less than $50,000","Moderate","Married"
"277",NA,"Very important","Very important","Support","The woman herself (or)","Not too important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Indep/Don't lean","$30,000 to less than $40,000","(DO NOT READ) Don't know/Refused","Married"
"278",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","45-54","Democrat","$100,000 or more","Liberal","Married"
"279","Yes, the law does this","Not too important","Very important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","65+","Republican","$20,000 to less than $30,000","Conservative","Married"
"280",NA,"Not too important","Somewhat important","Oppose","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"(DO NOT READ) Don't know","Oppose",NA,"High school graduate (Grade 12 with diploma or GED certificate)","55-64","Indep/Don't lean","(DO NOT READ) Don't know/Refused","Conservative","Married"
"281","Yes, the law does this","Very important","Somewhat important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","Two year associate degree from a college or university","45-54","Republican","$100,000 or more","Conservative","Married"
"282","(DO NOT READ) Don't know","(DO NOT READ) Refused","Somewhat important","(DO NOT READ) Don't know","(DO NOT READ) None of these/someone else","Not too important","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know",NA,NA,"Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","65+","Indep/Don't lean","$40,000 to less than $50,000","Moderate","Married"
"283",NA,"Very important","Very important","Support","The insurance company (or)","Very important","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know","(DO NOT READ) Don't know",NA,NA,"Support","Still support","Less than high school (Grades 1-8 or no formal schooling)","65+","Democrat","(DO NOT READ) Don't know/Refused","Conservative","Married"
"284",NA,"Somewhat important","Very important","Support","(DO NOT READ) None of these/someone else","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","65+","Democrat","(DO NOT READ) Don't know/Refused","Liberal","Widowed"
"285",NA,"Not too important","Very important","Support","The insurance company (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","65+","Democrat","Less than $20,000","Moderate","Living with a partner"
"286",NA,"Somewhat important","Very important","Support","(DO NOT READ) None of these/someone else","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","55-64","Democrat","$100,000 or more","Liberal","Married"
"287",NA,"Very important","Very important","Support","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Republican","$30,000 to less than $40,000","Moderate","Never been married"
"288",NA,"Somewhat important","Very important","Support","The woman herself (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know",NA,NA,"Oppose",NA,"High school graduate (Grade 12 with diploma or GED certificate)","65+","Indep/Don't lean","Less than $20,000","(DO NOT READ) Don't know/Refused","Divorced"
"289","(DO NOT READ) Don't know","Somewhat important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","45-54","Republican","$20,000 to less than $30,000","Moderate","Divorced"
"290",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","45-54","Democrat","Less than $20,000","Moderate","Married"
"291",NA,"Very important","Somewhat important","Support","The woman herself (or)","Very important","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"Support","Now oppose","Less than high school (Grades 1-8 or no formal schooling)","65+","Democrat","Less than $20,000","Moderate","Widowed"
"292","(DO NOT READ) Don't know","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","65+","Indep lean Dem","$40,000 to less than $50,000","Liberal","Divorced"
"293",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","65+","Democrat","$30,000 to less than $40,000","Moderate","Married"
"294","No, law does not do this","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","65+","Indep lean Dem","Less than $20,000","Moderate","Divorced"
"295","No, law does not do this","Not too important","Very important","Oppose","The woman herself (or)","(DO NOT READ) Refused","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Republican","$75,000 to less than $90,000","Conservative","Married"
"296",NA,"(DO NOT READ) Don't know","Very important","(DO NOT READ) Don't know","The insurance company (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"Support","Now oppose","Two year associate degree from a college or university","65+","Republican","$75,000 to less than $90,000","Conservative","Married"
"297",NA,"Not at all important","Somewhat important","Oppose","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"(DO NOT READ) Don't know","Support","Still support","Two year associate degree from a college or university","65+","Indep/Don't lean","$30,000 to less than $40,000","Moderate","Married"
